H4,Xác suất thống kê,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
H5,Vật lý đại cương - Lý sinh,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
ML310,Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 1,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
T0006,Hoá đại cương và vô cơ,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
T0011,Ngoại ngữ 1,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
T0015,Sinh học đại cương,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
T0019,Tin học,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
KNA102,Huấn luyện kỹ năng 1,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
ML002,Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
NNC050,Ngoại ngữ chuyên ngành,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
T0044,Điều dưỡng cơ bản,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
T0052,Tâm lý học,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
T0053,Giải phẫu 1,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
T0054,Di truyền học,Hệ: Đại học liên thông (DCT). Ngành: Y học cổ truyền (18). Khóa học: 2013 (27). Mô hình đào tạo: Niên chế.
